"lon","lat","city","city_state"
-119.0376023,34.2163937,"CAMARILLO","CAMARILLO, CA"
-118.3884078,33.8491816,"REDONDO BEACH","REDONDO BEACH, CA"
-117.2425355,33.2000368,"VISTA","VISTA, CA"
-117.9897058,33.7591757,"WESTMINSTER","WESTMINSTER, CA"
-122.6366524,38.232417,"PETALUMA","PETALUMA, CA"
-122.4852507,37.8590937,"SAUSALITO","SAUSALITO, CA"
-124.1636729,40.8020712,"EUREKA","EUREKA, CA"
-120.6596156,35.2827524,"SAN LUIS OBISPO","SAN LUIS OBISPO, CA"
-122.272747,37.8715926,"BERKELEY","BERKELEY, CA"
-121.0160594,39.2615606,"NEVADA CITY","NEVADA CITY, CA"
-121.5682751,37.0057816,"GILROY","GILROY, CA"
-120.6092971,35.3899526,"SANTA MARGARITA","SANTA MARGARITA, CA"
-121.9623751,37.2358078,"LOS GATOS","LOS GATOS, CA"
-122.7140548,38.440429,"SANTA ROSA","SANTA ROSA, CA"
-118.0853451,33.9472359,"SANTA FE SPRINGS","SANTA FE SPRINGS, CA"
-122.1817252,37.4529598,"MENLO PARK","MENLO PARK, CA"
-122.2566367,38.1040864,"VALLEJO","VALLEJO, CA"
-122.4077498,37.654656,"SOUTH SAN FRANCISCO","SOUTH SAN FRANCISCO, CA"
-119.2290316,34.274646,"VENTURA","VENTURA, CA"
-117.8132571,33.8885035,"YORBA LINDA","YORBA LINDA, CA"
-122.4194155,37.7749295,"SAN FRANCISCO","SAN FRANCISCO, CA"
-117.0841955,32.6400541,"CHULA VISTA","CHULA VISTA, CA"
-117.1610838,32.715738,"SAN DIEGO","SAN DIEGO, CA"
-118.3282279,33.3428193,"AVALON","AVALON, CA"
-122.2977475,37.88687,"ALBANY","ALBANY, CA"
-122.0363496,37.36883,"SUNNYVALE","SUNNYVALE, CA"
-121.8946761,36.6002378,"MONTEREY","MONTEREY, CA"
-121.2907796,37.9577016,"STOCKTON","STOCKTON, CA"
-117.2800372,33.5989126,"WILDOMAR","WILDOMAR, CA"
-118.2436849,34.0522342,"LOS ANGELES","LOS ANGELES, CA"
-118.0353449,34.1397292,"ARCADIA","ARCADIA, CA"
-118.4911912,34.0194543,"SANTA MONICA","SANTA MONICA, CA"
-119.0187125,35.3732921,"BAKERSFIELD","BAKERSFIELD, CA"
-122.2363548,37.4852152,"REDWOOD CITY","REDWOOD CITY, CA"
-122.0146841,37.0510595,"SCOTTS VALLEY","SCOTTS VALLEY, CA"
-121.3644216,38.7166871,"ANTELOPE","ANTELOPE, CA"
-118.1503488,34.1161196,"SOUTH PASADENA","SOUTH PASADENA, CA"
-121.7405167,38.5449065,"DAVIS","DAVIS, CA"
-121.9885719,37.5482697,"FREMONT","FREMONT, CA"
-117.185294,33.6971468,"MENIFEE","MENIFEE, CA"
-118.2922461,33.7360619,"SAN PEDRO","SAN PEDRO, CA"
-118.451357,34.1898566,"VAN NUYS","VAN NUYS, CA"
-122.0321823,37.3229978,"CUPERTINO","CUPERTINO, CA"
-117.7853568,33.5427189,"LAGUNA BEACH","LAGUNA BEACH, CA"
