"lon","lat","city","city_state"
NA,NA,"LIVINGSTON","LIVINGSTON, CA"
NA,NA,"SACRAMENTO","SACRAMENTO, CA"
NA,NA,"ALISO VIEJO","ALISO VIEJO, CA"
NA,NA,"CARLSBAD","CARLSBAD, CA"
NA,NA,"SAN DIEGO","SAN DIEGO, CA"
NA,NA,"KNIGHTSEN","KNIGHTSEN, CA"
NA,NA,"PALOS VERDES ESTATES","PALOS VERDES ESTATES, CA"
NA,NA,"CAMARILLO","CAMARILLO, CA"
NA,NA,"SANTA ANA","SANTA ANA, CA"
NA,NA,"CHATSWORTH","CHATSWORTH, CA"
NA,NA,"AUBURN","AUBURN, CA"
NA,NA,"SAN LEANDRO","SAN LEANDRO, CA"
NA,NA,"ANAHEIM","ANAHEIM, CA"
NA,NA,"MARIPOSA, CA 95338","MARIPOSA, CA 95338, CA"
NA,NA,"LOS ANGELES","LOS ANGELES, CA"
NA,NA,"FRESNO","FRESNO, CA"
NA,NA,"WALNUT CREEK","WALNUT CREEK, CA"
NA,NA,"SAN FRANCISCO","SAN FRANCISCO, CA"
NA,NA,"ROCKLIN","ROCKLIN, CA"
NA,NA,"LAGUNA NIGUEL","LAGUNA NIGUEL, CA"
NA,NA,"SAN JOSE","SAN JOSE, CA"
NA,NA,"POMONA","POMONA, CA"
NA,NA,"PORTER RANCH","PORTER RANCH, CA"
NA,NA,"PENN VALLEY","PENN VALLEY, CA"
NA,NA,"MAGALIA","MAGALIA, CA"
NA,NA,"ROSEVILLE","ROSEVILLE, CA"
NA,NA,"ALAMEDA","ALAMEDA, CA"
NA,NA,"HEMET","HEMET, CA"
NA,NA,"SOUTH PASADENA","SOUTH PASADENA, CA"
NA,NA,"OROVILLE","OROVILLE, CA"
NA,NA,"CARMICHAEL","CARMICHAEL, CA"
NA,NA,"HUNTINGTON BEACH","HUNTINGTON BEACH, CA"
NA,NA,"TUSTIN","TUSTIN, CA"
NA,NA,"CERES","CERES, CA"
NA,NA,"ALTADENA","ALTADENA, CA"
NA,NA,"CHICAGO PARK","CHICAGO PARK, CA"
NA,NA,"GOLD RIVER","GOLD RIVER, CA"
NA,NA,"CRESCENT CITY","CRESCENT CITY, CA"
NA,NA,"CASTAIC","CASTAIC, CA"
NA,NA,"RANCHO PALOS VERDES","RANCHO PALOS VERDES, CA"
NA,NA,"PALM DESERT","PALM DESERT, CA"
NA,NA,"YUCAIPA","YUCAIPA, CA"
NA,NA,"MOUNTAIN VIEW","MOUNTAIN VIEW, CA"
NA,NA,"HOLLISTER","HOLLISTER, CA"
